ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Region,Reg_Code,2020 Censu
Region I,PH010000000,Philippines (the),PH,Region I (Ilocos Region),PH010000000,"5301139.0"
Region II,PH020000000,Philippines (the),PH,Region II (Cagayan Valley),PH020000000,"3685744.0"
Region III,PH030000000,Philippines (the),PH,Region III (Central Luzon),PH030000000,"12422172.0"
Region IV-A,PH040000000,Philippines (the),PH,Region IV-A (CALABARZON),PH040000000,"16195042.0"
Region V,PH050000000,Philippines (the),PH,Region V (Bicol Region),PH050000000,"6082165.0"
Region VI,PH060000000,Philippines (the),PH,Region VI (Western Visayas),PH060000000,"7954723.0"
Region VII,PH070000000,Philippines (the),PH,Region VII (Central Visayas),PH070000000,"8081988.0"
Region VIII,PH080000000,Philippines (the),PH,Region VIII (Eastern Visayas),PH080000000,"4547150.0"
Region IX,PH090000000,Philippines (the),PH,Region IX (Zamboanga Peninsula),PH090000000,"3875576.0"
Region X,PH100000000,Philippines (the),PH,Region X (Northern Mindanao),PH100000000,"5022768.0"
Region XI,PH110000000,Philippines (the),PH,Region XI (Davao Region),PH110000000,"5243536.0"
Region XII,PH120000000,Philippines (the),PH,Region XII (SOCCSKSARGEN),PH120000000,"4686053.0"
National Capital Region,PH130000000,Philippines (the),PH,National Capital Region (NCR),PH130000000,"13484462.0"
Cordillera Administrative Region,PH140000000,Philippines (the),PH,Cordillera Administrative Region (CAR),PH140000000,"1797660.0"
Bangsamoro Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),PH150000000,"4729367.0"
Region XIII,PH160000000,Philippines (the),PH,Region XIII (Caraga),PH160000000,"2804788.0"
Region IV-B,PH170000000,Philippines (the),PH,MIMAROPA Region,PH170000000,"3228558.0"
